case_id,merchant_id,customer_id,customer_name,customer_phone,customer_email,subscription_id,amount,currency,failed_at,failure_code,failure_description,payment_method,previous_attempts,last_attempt_at,status,recovered_amount,recovery_attempts,last_recovery_action,escalated,notes
CASE0001,merch_1007,cust_0001,Reyansh Sharma,+919831213917,reyansh.sharma1@yahoo.com,sub_0001,199900,INR,2026-08-19T05:46:18.609695,mandate_revoked,Customer revoked the mandate,upi,1,2026-08-17T14:46:18.609695,failed_recoverable,0,0,,False,
CASE0002,merch_1033,cust_0002,Reyansh Verma,+919849841784,reyansh.verma91@outlook.com,sub_0002,29900,INR,2026-08-17T23:46:18.609695,bank_timeout,Bank did not respond in time,upi,0,,failed_recoverable,0,0,,False,
CASE0003,merch_1019,cust_0003,Diya Singh,+919883369838,diya.singh48@outlook.com,sub_0003,499900,INR,2026-08-17T07:46:18.609695,invalid_account,Invalid account details,upi,2,2026-08-16T19:46:18.609695,failed_recoverable,0,0,,False,
CASE0004,merch_1049,cust_0004,Sai Gupta,+919837555510,sai.gupta35@yahoo.com,sub_0004,99900,INR,2026-08-17T07:46:18.609695,do_not_honor,Do not honor,upi,2,2026-08-15T22:46:18.609695,failed_recoverable,0,0,,False,
CASE0005,merch_1027,cust_0005,Vivaan Sharma,+919869965471,vivaan.sharma31@hotmail.com,sub_0005,49900,INR,2026-08-17T06:46:18.609695,mandate_revoked,Customer revoked the mandate,upi,1,2026-08-16T22:46:18.609695,failed_recoverable,0,0,,False,
CASE0006,merch_1036,cust_0006,Krishna Reddy,+919828562779,krishna.reddy95@hotmail.com,sub_0006,19900,INR,2026-08-19T00:46:18.609695,do_not_honor,Do not honor,netbanking,2,2026-08-18T18:46:18.609695,failed_recoverable,0,0,,False,
CASE0007,merch_1016,cust_0007,Vivaan Verma,+919864772340,vivaan.verma2@outlook.com,sub_0007,99900,INR,2026-08-16T20:46:18.609695,soft_decline,Temporary decline by issuer,netbanking,0,,failed_recoverable,0,0,,False,
CASE0008,merch_1046,cust_0008,Ananya Nair,+919886606329,ananya.nair7@outlook.com,sub_0008,19900,INR,2026-08-19T17:46:18.609695,soft_decline,Temporary decline by issuer,netbanking,1,2026-08-18T07:46:18.609695,failed_recoverable,0,0,,False,
CASE0009,merch_1032,cust_0009,Aarav Gupta,+919815911057,aarav.gupta14@yahoo.com,sub_0009,499900,INR,2026-08-20T08:46:18.609695,invalid_account,Invalid account details,upi,2,2026-08-18T12:46:18.609695,failed_recoverable,0,0,,False,
CASE0010,merch_1036,cust_0010,Anika Mehta,+919855754224,anika.mehta48@outlook.com,sub_0010,199900,INR,2026-08-17T15:46:18.609695,mandate_revoked,Customer revoked the mandate,card,0,,failed_recoverable,0,0,,False,
CASE0011,merch_1023,cust_0011,Diya Singh,+919838095223,diya.singh52@outlook.com,sub_0011,249900,INR,2026-08-19T23:46:18.609695,do_not_honor,Do not honor,upi,0,,failed_recoverable,0,0,,False,
CASE0012,merch_1012,cust_0012,Navya Reddy,+919837200771,navya.reddy9@yahoo.com,sub_0012,499900,INR,2026-08-19T15:46:18.609695,soft_decline,Temporary decline by issuer,upi,0,,failed_recoverable,0,0,,False,
CASE0013,merch_1027,cust_0013,Krishna Nair,+919853954533,krishna.nair12@hotmail.com,sub_0013,19900,INR,2026-08-18T22:46:18.609695,card_expired,Card has expired,card,1,2026-08-18T00:46:18.609695,failed_recoverable,0,0,,False,
